   c  s cnt l n  v  L C  A  D  r h  w f  b rh g lg p nas 
?  1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 0 0 0 0 -1 1 0 -1 -1
p> 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t> 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t[> 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
k> 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
k>j 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
ph 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
th 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
thl 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
kh 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
ch 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
qh 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
m 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
m0 1 1 -1 -1 1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
mh 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
mw 1 1 -1 -1 1 1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 0
mj 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
M 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
n 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
n0 1 1 -1 -1 1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nw 1 1 -1 -1 1 1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nj 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nh 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
n[ 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
n~ 1 1 -1 -1 1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nr 1 1 -1 -1 1 1 -1 1 -1 1 -1 0 0 0 0 1 -1 0 -1 0
Nq 1 1 -1 -1 1 1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 0
w 0 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 0 -1 -1
V[ 0 1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
9 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r: 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 1 -1 -1
9rh 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r[ 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r= 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9rj 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
j 0 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
jw 0 1 1 -1 -1 1 1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
j- 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
jr 0 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 1 -1 0 -1 -1
4) 0 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 -1 1 -1 -1 0 -1 -1
l= 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
l 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
lw 1 1 1 1 -1 1 1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
lj 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
lr= 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1 
lr 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
Lg 1 1 1 1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
L 1 1 1 1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
B 1 1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
r 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
rw 1 1 1 -1 -1 1 1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
r= 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
rh 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
R 1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 1 1 -1 0 -1 -1
rr 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
rr= 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
r( 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
F 1 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
V 1 -1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
f 1 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
fj 1 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
fw 1 -1 1 -1 -1 -1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 -1
v  1 -1  1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
vw  1 -1  1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
T 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
D 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Dw 1 -1 1 -1 -1 1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
s  1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sw  1 -1 1 -1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sj 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
z 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
zh 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
z} 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
S 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Sw 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Sj 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Z 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Z} 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sr 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
zr 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
C 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
j^ 1 -1  1 -1 -1 1 -1 1 -1  1 -1 1 -1 1 -1 -1 -1 0 -1 -1
x 1 -1 1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
G 1 -1 1 -1 -1 1 -1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
Gw 1 -1 1 -1 -1 1 1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
Gh 1 -1 1 -1 -1 1 -1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
X 1 -1 1 -1 -1 -1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
K 1 -1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
H 1 -1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
HH 1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 0 0 0 0 -1 -1 -1 1 -1
HH_v 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 0 0 0 0 -1 -1 -1 1 -1 
h 0 -1 1 -1 -1 -1 -1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
hw 0 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sh 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Ch 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
hl 1 -1 1 1 -1 1 -1 1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Zl 1 -1 1 1 -1 1 -1 1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
pf 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bB 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bv 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
ts 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
ts> 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
ts_r 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
ts_rh 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
tsr 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dz 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dzr 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
tSj 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tS 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dZ 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
cC 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
kx 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
qX 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
kp 1 -1 -1 -1 -1 -1 1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
gb 1 -1 -1 -1 -1 1 1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
pt 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bd 1 -1 -1 -1 -1 1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tsh 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tshr 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tSh 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
cCh 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
tS> 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
cC> 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
3r 0 1 1 0 -1 1 -1 -1 0 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1
4r 0 1 1 0 -1 1 -1 -1 0 1 -1 1 -1 -1 1 1 -1 -1 -1 -1
&r 0 1 1 0 -1 1 -1 -1 0 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1
?a -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 1 0 -1 -1
?u -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 1 0 -1 -1
?i -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 1 0 -1 -1
t! 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 1 -1 -1 0 -1 -1
d! 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 1 -1 -1 0 -1 -1
p_c 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
pw_c 1 -1 -1 -1 -1 -1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 -1
b_c 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bw_c 1 -1 -1 -1 -1 1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 -1
t_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tw_c 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tj_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
l_c 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
lw_c 1 -1 -1 1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t[_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
