# Hangel Syllables
AEA5	k> j @ n tS
AEA6	k> j @ n h
AEA7	k> j @ t
AEA8	k> j @ l
AEA9	k> j @ l k
AEAA	k> j @ l m
AEAB	k> j @ l p
AEAC	k> j @ l sh
AEAD	k> j @ l th
AEAE	k> j @ l ph
AEAF	k> j @ l h
AEB0	k> j @ m
AEB1	k> j @ p
AEB2	k> j @ p sh
AEB3	k> j @ sh
AEB4	k> j @ s
AEB5	k> j @ N
AEB6	k> j @ tS
AEB7	k> j @ tSh
AEB8	k> j @ kh
AEB9	k> j @ th
AEBA	k> j @ ph
AEBB	k> j @ h
AEBC	k> ^
AEBD	k> ^ k
AEBE	k> ^ k> 
AEBF	k> ^ k sh
AEC0	k> ^ n
AEC1	k> ^ n tS
AEC2	k> ^ n h
AEC3	k> ^ t
AEC4	k> ^ l
AEC5	k> ^ l k
AEC6	k> ^ l m
AEC7	k> ^ l p
AEC8	k> ^ l sh
AEC9	k> ^ l th
AECA	k> ^ l ph
AECB	k> ^ l h
AECC	k> ^ m
AECD	k> ^ p
AECE	k> ^ p sh
AECF	k> ^ sh
AED0	k> ^ s
AED1	k> ^ N
AED2	k> ^ tS
AED3	k> ^ tSh
AED4	k> ^ kh
AED5	k> ^ th
AED6	k> ^ ph
AED7	k> ^ h
AED8	k> e
AED9	k> e k
AEDA	k> e k> 
AEDB	k> e k sh
AEDC	k> e n
AEDD	k> e n tS
AEDE	k> e n h
AEDF	k> e t
AEE0	k> e l
AEE1	k> e l k
AEE2	k> e l m
AEE3	k> e l p
AEE4	k> e l sh
AEE5	k> e l th
AEE6	k> e l ph
AEE7	k> e l h
AEE8	k> e m
AEE9	k> e p
AEEA	k> e p sh
AEEB	k> e sh
AEEC	k> e s 
AEED	k> e N
AEEE	k> e tS
AEEF	k> e tSh
AEF0	k> e kh
AEF1	k> e th
AEF2	k> e ph
AEF3	k> e h
AEF4	k> j ^
AEF5	k> j ^ k
AEF6	k> j ^ k>
AEF7	k> j ^ k sh
AEF8	k> j ^ n
AEF9	k> j ^ n tS
AEFA	k> j ^ n h
AEFB	k> j ^ t
AEFC	k> j ^ l
AEFD	k> j ^ l k
AEFE	k> j ^ l m
AEFF	k> j ^ l p
AF00	k> j ^ l sh
AF01	k> j ^ l th
AF02	k> j ^ l ph
AF03	k> j ^ l h
AF04	k> j ^ m
AF05	k> j ^ p
AF06	k> j ^ p sh
AF07	k> j ^ sh
AF08	k> j ^ s
AF09	k> j ^ N
AF0A	k> j ^ tS
AF0B	k> j ^ tSh
AF0C	k> j ^ kh
AF0D	k> j ^ th
AF0E	k> j ^ ph
AF0F	k> j ^ h
AF10	k> j e
AF11	k> j e k
AF12	k> j e k>
AF13	k> j e k sh
AF14	k> j e n
AF15	k> j e n tS
AF16	k> j e n h
AF17	k> j e t
AF18	k> j e l
AF19	k> j e l k
AF1A	k> j e l m
AF1B	k> j e l p
AF1C	k> j e l sh
AF1D	k> j e l th
AF1E	k> j e l ph
AF1F	k> j e l h
AF20	k> j e m
AF21	k> j e p
AF22	k> j e p sh
AF23	k> j e sh
AF24	k> j e s
AF25	k> j e N
AF26	k> j e tS
AF27	k> j e tSh
AF28	k> j e kh
AF29	k> j e th
AF2A	k> j e ph
AF2B	k> j e h
AF2C	k> o
AF2D	k> o k
AF2E	k> o k>
AF2F	k> o k sh
AF30	k> o n
AF31	k> o n tS
AF32	k> o n h
AF33	k> o t
AF34	k> o l
AF35	k> o l k
AF36	k> o l m
AF37	k> o l p
AF38	k> o l sh
AF39	k> o l th
AF3A	k> o l ph
AF3B	k> o l h
AF3C	k> o m
AF3D	k> o p
AF3E	k> o p sh
AF3F	k> o sh
AF40	k> o s
AF41	k> o N
AF42	k> o tS
AF43	k> o tSh
AF44	k> o kh
AF45	k> o th
AF46	k> o ph
AF47	k> o h
AF48	k> w a
AF49	k> w a k
AF4A	k> w a k> 
AF4B	k> w a k sh
AF4C	k> w a n
AF4D	k> w a n tS
AF4E	k> w a n h
AF4F	k> w a t
AF50	k> w a l
AF51	k> w a l k
AF52	k> w a l m
AF53	k> w a l p
AF54	k> w a l sh
AF55	k> w a l th
AF56	k> w a l ph
AF57	k> w a l h
AF58	k> w a m
AF59	k> w a p
AF5A	k> w a p sh
AF5B	k> w a sh
AF5C	k> w a s
AF5D	k> w a N
AF5E	k> w a tS
AF5F	k> w a tSh
AF60	k> w a kh
AF61	k> w a th
AF62	k> w a ph
AF63	k> w a h
AF64	k> w @
AF65	k> w @ k
AF66	k> w @ k>
AF67	k> w @ k sh
AF68	k> w @ n
AF69	k> w @ n tS
AF6A	k> w @ n h
AF6B	k> w @ t
AF6C	k> w @ l
AF6D	k> w @ l k
AF6E	k> w @ l m
AF6F	k> w @ l p
AF70	k> w @ l sh
AF71	k> w @ l th
AF72	k> w @ l ph
AF73	k> w @ l h
AF74	k> w @ m
AF75	k> w @ p
AF76	k> w @ p sh
AF77	k> w @ sh
AF78	k> w @ s
AF79	k> w @ N
AF7A	k> w @ tS
AF7B	k> w @ tSh
AF7C	k> w @ kh
AF7D	k> w @ th
AF7E	k> w @ ph
AF7F	k> w @ h
AF80	k> w e
AF81	k> w e k
AF82	k> w e k>
AF83	k> w e k sh
AF84	k> w e n
AF85	k> w e n tS
AF86	k> w e n h
AF87	k> w e t
AF88	k> w e l
AF89	k> w e l k
AF8A	k> w e l m
AF8B	k> w e l p
AF8C	k> w e l sh
AF8D	k> w e l th
AF8E	k> w e l ph
AF8F	k> w e l h
AF90	k> w e m
AF91	k> w e p
AF92	k> w e p sh
AF93	k> w e sh
AF94	k> w e s
AF95	k> w e N
AF96	k> w e tS
AF97	k> w e tSh
AF98	k> w e kh
AF99	k> w e th
AF9A	k> w e ph
AF9B	k> w e h
AF9C	k> j o
AF9D	k> j o k
AF9E	k> j o k>
AF9F	k> j o k sh
AFA0	k> j o n
AFA1	k> j o n tS
AFA2	k> j o n h
AFA3	k> j o t
AFA4	k> j o l
AFA5	k> j o l k
AFA6	k> j o l m
AFA7	k> j o l p
AFA8	k> j o l sh
AFA9	k> j o l th
AFAA	k> j o l ph
AFAB	k> j o l h
AFAC	k> j o m
AFAD	k> j o p
AFAE	k> j o p sh
AFAF	k> j o sh
AFB0	k> j o s
AFB1	k> j o N
AFB2	k> j o tS
AFB3	k> j o tSh
AFB4	k> j o kh
AFB5	k> j o th
AFB6	k> j o ph
AFB7	k> j o h
AFB8	k> u
AFB9	k> u k
AFBA	k> u k>
AFBB	k> u k sh
